id_partida,ano_copa,data_hora,id_fase,fase_grupo,tipo_fase,id_estadio,id_time1,time1,img_time1,gols_time1,placar,gols_time2,id_time2,time2,img_time2,win_conditions,publico_partida,arbitro,assistente1,assistente2
1096,1930,13 Jul 1930 - 15:00 ,2084,Grupo 1,Fase de Grupos,1,3,FRA,https://api.fifa.com/api/v3/picture/flags-sq-5/FRA,4,1-4,1,9,MEX,https://api.fifa.com/api/v3/picture/flags-sq-5/MEX, ,4444,LOMBARDI Domingo (URU),CRISTOPHE Henry (BEL),REGO Gilberto (BRA)
1090,1930,13 Jul 1930 - 15:00 ,2090,Grupo 4,Fase de Grupos,2,13,USA,https://api.fifa.com/api/v3/picture/flags-sq-5/USA,3,3-0,0,22,BEL,https://api.fifa.com/api/v3/picture/flags-sq-5/BEL, ,18346,MACIAS Jose (ARG),MATEUCCI Francisco (URU),WARNKEN Alberto (CHI)
1093,1930,14 Jul 1930 - 12:45 ,2086,Grupo 2,Fase de Grupos,2,83,YUG,https://api.fifa.com/api/v3/picture/flags-sq-5/YUG,2,2-1,1,4,BRA,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA, ,24059,TEJADA Anibal (URU),VALLARINO Ricardo (URU),BALWAY Thomas (FRA)
1098,1930,14 Jul 1930 - 14:50 ,2088,Grupo 3,Fase de Grupos,1,70,ROU,https://api.fifa.com/api/v3/picture/flags-sq-5/ROU,3,3-1,1,62,PER,https://api.fifa.com/api/v3/picture/flags-sq-5/PER, ,2549,WARNKEN Alberto (CHI),LANGENUS Jean (BEL),MATEUCCI Francisco (URU)
1085,1930,15 Jul 1930 - 16:00 ,2084,Grupo 1,Fase de Grupos,2,11,ARG,https://api.fifa.com/api/v3/picture/flags-sq-5/ARG,1,1-0,0,3,FRA,https://api.fifa.com/api/v3/picture/flags-sq-5/FRA, ,23409,REGO Gilberto (BRA),SAUCEDO Ulises (BOL),RADULESCU Constantin (ROU)
1095,1930,16 Jul 1930 - 14:45 ,2084,Grupo 1,Fase de Grupos,2,7,CHI,https://api.fifa.com/api/v3/picture/flags-sq-5/CHI,3,3-0,0,9,MEX,https://api.fifa.com/api/v3/picture/flags-sq-5/MEX, ,9249,CRISTOPHE Henry (BEL),APHESTEGUY Martin (URU),LANGENUS Jean (BEL)
1092,1930,17 Jul 1930 - 12:45 ,2086,Grupo 2,Fase de Grupos,2,83,YUG,https://api.fifa.com/api/v3/picture/flags-sq-5/YUG,4,4-0,0,23,BOL,https://api.fifa.com/api/v3/picture/flags-sq-5/BOL, ,18306,MATEUCCI Francisco (URU),LOMBARDI Domingo (URU),WARNKEN Alberto (CHI)
1097,1930,17 Jul 1930 - 14:45 ,2090,Grupo 4,Fase de Grupos,2,13,USA,https://api.fifa.com/api/v3/picture/flags-sq-5/USA,3,3-0,0,61,PAR,https://api.fifa.com/api/v3/picture/flags-sq-5/PAR, ,18306,MACIAS Jose (ARG),APHESTEGUY Martin (URU),TEJADA Anibal (URU)
1099,1930,18 Jul 1930 - 14:30 ,2088,Grupo 3,Fase de Grupos,3,1,URU,https://api.fifa.com/api/v3/picture/flags-sq-5/URU,1,1-0,0,62,PER,https://api.fifa.com/api/v3/picture/flags-sq-5/PER, ,57735,LANGENUS Jean (BEL),BALWAY Thomas (FRA),CRISTOPHE Henry (BEL)
1094,1930,19 Jul 1930 - 12:50 ,2084,Grupo 1,Fase de Grupos,3,7,CHI,https://api.fifa.com/api/v3/picture/flags-sq-5/CHI,1,1-0,0,3,FRA,https://api.fifa.com/api/v3/picture/flags-sq-5/FRA, ,2000,TEJADA Anibal (URU),LOMBARDI Domingo (URU),REGO Gilberto (BRA)
1086,1930,19 Jul 1930 - 15:00 ,2084,Grupo 1,Fase de Grupos,3,11,ARG,https://api.fifa.com/api/v3/picture/flags-sq-5/ARG,6,6-3,3,9,MEX,https://api.fifa.com/api/v3/picture/flags-sq-5/MEX, ,42100,SAUCEDO Ulises (BOL),ALONSO Gualberto (URU),RADULESCU Constantin (ROU)
1091,1930,20 Jul 1930 - 13:00 ,2086,Grupo 2,Fase de Grupos,3,4,BRA,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,4,4-0,0,23,BOL,https://api.fifa.com/api/v3/picture/flags-sq-5/BOL, ,25466,BALWAY Thomas (FRA),MATEUCCI Francisco (URU),VALLEJO Gaspar (MEX)
