ano_copa,desc_copa,img_logo,sede,campeao,img_campeao,2nd,img_2nd,3nd,img_3nd,4nd,img_4nd,gols_marcados_copa,quant_participantes_copa,quant_partidas_copa,publico_copa,tec_codTecnicoCampeao,tec_codTecnico2nd,tec_codTecnico3nd,tec_codTecnico4nd,Conta
1930,1930 FIFA WORLD CUP URUGUAY™,https://digitalhub.fifa.com/m/f4e009d1889ed7a/original/ruml1rjl2evj4i4iwem9-jpg,Uruguay,Uruguay,https://api.fifa.com/api/v3/picture/flags-sq-5/URU,Argentina,https://api.fifa.com/api/v3/picture/flags-sq-5/ARG,USA,https://api.fifa.com/api/v3/picture/flags-sq-5/USA,Yugoslavia,https://api.fifa.com/api/v3/picture/flags-sq-5/YUG,70,13,18,590549,7,5,2,3,1
1934,1934 FIFA WORLD CUP ITALY™,https://digitalhub.fifa.com/m/52249e202b1ecec5/original/unyvvfasdajttq46bark-jpg,Italy,Italy,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA,Czechoslovakia,https://api.fifa.com/api/v3/picture/flags-sq-5/TCH,Germany,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,Austria,https://api.fifa.com/api/v3/picture/flags-sq-5/AUT,70,16,17,363000,16,17,14,10,1
1938,1938 FIFA WORLD CUP FRANCE™,https://digitalhub.fifa.com/m/650057c08aa3a8e0/original/co6egl6d07ush2qzeyhb-jpg,France,Italy,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA,Hungary,https://api.fifa.com/api/v3/picture/flags-sq-5/HUN,Brazil,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,Sweden,https://api.fifa.com/api/v3/picture/flags-sq-5/SWE,84,15,18,375700,16,19,22,13,1
1950,1950 FIFA WORLD CUP BRAZIL™,https://digitalhub.fifa.com/m/25639c7c72daff02/original/uu5bpnqeqr5mzgzqscw3-jpg,Brazil,Uruguay,https://api.fifa.com/api/v3/picture/flags-sq-5/URU,Brazil,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,Sweden,https://api.fifa.com/api/v3/picture/flags-sq-5/SWE,Spain,https://api.fifa.com/api/v3/picture/flags-sq-5/ESP,88,13,22,1045246,31,24,27,26,1
1954,1954 FIFA WORLD CUP SWITZERLAND™,https://digitalhub.fifa.com/m/1866f7e32c2632fb/original/vjpswmkgs0gt6azmjbnl-jpg,Switzerland,Germany,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,Hungary,https://api.fifa.com/api/v3/picture/flags-sq-5/HUN,Austria,https://api.fifa.com/api/v3/picture/flags-sq-5/AUT,Uruguay,https://api.fifa.com/api/v3/picture/flags-sq-5/URU,140,16,26,768607,37,38,34,31,1
1958,1958 FIFA WORLD CUP SWEDEN™,https://digitalhub.fifa.com/m/b9ea991e08faeec/original/icmicuinxdhenbg9oexi-jpg,Sweden,Brazil,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,Sweden,https://api.fifa.com/api/v3/picture/flags-sq-5/SWE,France,https://api.fifa.com/api/v3/picture/flags-sq-5/FRA,Germany,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,126,16,35,819810,46,27,45,37,1
1962,1962 FIFA WORLD CUP CHILE™,https://digitalhub.fifa.com/m/4ed2fa418d762c81/original/tzedoeqxghgpywghrxha-jpg,Chile,Brazil,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,Czechoslovakia,https://api.fifa.com/api/v3/picture/flags-sq-5/TCH,Chile,https://api.fifa.com/api/v3/picture/flags-sq-5/CHI,Yugoslavia,https://api.fifa.com/api/v3/picture/flags-sq-5/YUG,89,16,32,893172,53,56,55,57,1
1966,1966 FIFA WORLD CUP ENGLAND™,https://digitalhub.fifa.com/m/4b93d037b3ec17f1/original/mftgbrp9b4tp0v2szgi5-jpg,England,England,https://api.fifa.com/api/v3/picture/flags-sq-5/ENG,Germany,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,Portugal,https://api.fifa.com/api/v3/picture/flags-sq-5/POR,Soviet Union,https://api.fifa.com/api/v3/picture/flags-sq-5/URS,89,16,32,1563135,61,62,65,63,1
1970,1970 FIFA WORLD CUP MEXICO™,https://digitalhub.fifa.com/m/2532ae76a1faa81f/original/iajquim7ojl3zw0whjtb-jpg,Mexico,Brazil,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,Italy,https://api.fifa.com/api/v3/picture/flags-sq-5/ITA,Germany,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,Uruguay,https://api.fifa.com/api/v3/picture/flags-sq-5/URU,95,16,32,1603975,74,73,62,71,1
1974,1974 FIFA WORLD CUP GERMANY™,https://digitalhub.fifa.com/m/127678dcc0812c15/original/arfake8j1mujaieubtby-jpg,Germany,Germany,https://api.fifa.com/api/v3/picture/flags-sq-5/GER,Netherlands,https://api.fifa.com/api/v3/picture/flags-sq-5/NED,Poland,https://api.fifa.com/api/v3/picture/flags-sq-5/POL,Brazil,https://api.fifa.com/api/v3/picture/flags-sq-5/BRA,97,16,38,1865753,62,88,83,74,1
